Product Name and specs,Price
BEKO 316L HarvestFresh No-frost 60cm Bottom Freezer Fridge B3RCNE364HXB,"R 9,999"
Hisense 222L Bottom Freezer Fridge with Water Dispenser -Titanium Inox,"R 4,999"
KIC 170L Top Freezer Fridge - Metallic,"R 4,300"
Hisense 223L Bottom Freezer Fridge-Titanium Inox,"R 4,699"
Hisense 154L Top Freezer Fridge-Titanium Silver,"R 3,999"
Hisense 264L Bottom Freezer Fridge - Titanium Inox,"R 4,999"
Defy 157L Top Mount freezer fridge Satin Metalic DAD239,"R 3,699"
Midea 87L Double Door Bar Fridge - Silver,"R 3,299"
KIC 170L Top Freezer Fridge - White,"R 3,499"
Hisense 263L Bottom Freezer Fridge with Water Dispenser-Titanium Inox,"R 5,699"
Defy 210L Bottom Mount freezer Fridge DAC363 - Metallic,"R 4,599"
Hisense 394L PureFlat Door Fridge with Durable Inverter and Water Dispenser,"R 14,999"
Defy DFF456 91cm 496L Side by Side Fridge Freezer No Frost with Water Dispenser Mirror Black Glass,"R 13,999"
Hisense 177L Single Door Fridge with Water Dispenser - Red,"R 3,999"
Univa UB155M - 117L Compact Bottom Freezer Fridge with lock,"R 3,999"
Defy DFF440 492L French Door Fridge with Water Dispense Onyx,"R 16,999"
Hisense 263L Bottom Freezer Fridge with Water Dispenser- Black Glass,"R 6,299"
Defy White Bar Fridge - DBF90W,"R 2,199"
Univa 157L Compact Bottom Freezer Combi Fridge with dual lock - UB205M,"R 4,299"
Hisense 463L Bottom Freezer Fridge with Water Dispenser-Stainless Steel,"R 9,999"
Midea 173L Top Mount Freezer - White,"R 3,499"
Hisense 95L Chest Freezer - Metallic,"R 3,499"
Hisense 154L Top Freezer Fridge - White,"R 3,699"
KIC 344L Bottom Freezer Fridge With Water Dispenser - Metallic,"R 5,999"
Defy 348L Black Glass Fridge with WD DAC652,"R 7,999"
LG 611L InstaView ThinQ Side by Side Refrigerator GC-X257CQFS Matt Black,"R 37,999"
KIC KBF 525/2 ME 239l Capacity Bottom Freezer Fridge - Metallic,"R 4,799"
Defy 245L Bottom Freezer Fridge with Water Dispenser - Silver DAC449,"R 5,299"
KIC 276L Bottom Freezer Fridge - Metallic,"R 5,499"
JVC Silver 550L Side by Side Refrigerator/ Freezer with water Dispenser,"R 10,999"
Samsung 470l Frost Free French Door with Water Dispenser and A+ Energy,"R 17,999"
Univa UT120M 86L Top Freezer Bar Fridge with lock Metallic,"R 2,999"
Hisense 324L Bottom Freezer Fridge with Soft LED Lighting Titanium Inox,"R 6,998"
Defy 350L Bottom Freezer Fridge Satin Metallic DAC622,"R 5,999"
Hisense 508L No Frost Side by Side Fridge Freezer - Titanium Inox,"R 11,999"
BEKO A++ Dark Inox Grey 521L Side-by-Side Fridge GNO532B,"R 15,999"
Hisense 631L Smart  Side by Side Fridge Freezer with Water Dispenser,"R 19,999"
