Lenovo 27" Thinkvision Computer Monitor - S27i-30 4ms IPS FHD PC Monitors-R 4,883
Lenovo ThinkVision Computer Monitor -23.8" Computer Screen Monitors P24h-30-R 8,698
Certified Pre-Owned Dell OptiPlex 3010 - Intel Core i3 4GB 128SSD Full Set-R 3,399
Certified Pre-Owned Dell OptiPlex 7040 Intel i5 8GB 256GB SSD (Full Set)-R 4,299
ITX Computer Case M06 Mini Desktop Case HTPC Case Industrial Control Case-R 849
Certified Pre-Owned HP Compaq 8200 Elite SFF - Full Set Combo-R 3,299
Xiaomi A24i 24" Full HD 1080p IPS Monitor (100Hz, 6ms, 16:9)-R 1,949
Lenovo ThinkVision E20-30 19.5'' (20-inch) IPS Monitor - Black-R 1,599
Certified Pre-Owned Dell OptiPlex 3010 i3-4GB RAM 128GB SSD SFF-R 1,699
Xiaomi A24i 24" Full HD 1080p IPS Monitor (100Hz, 6ms, 16:9)-R 1,949
Lenovo L22e-30 21.5'' FHD (1080p) Monitor-R 3,200
Lenovo ThinkVision E20-20 19.5" WXSGA Monitor-R 2,295
D-092 Wooden Computer Speakers - Wired PC Speakers with AUX and USB Adapter-R 145
Proline V11 N4020 4GB 120GB SSD 11.6" Laptop (Certified Pre-Owned)-R 1,699
Certified Pre-Owned Dell OptiPlex 5040 i7-6th Gen 16GB 512GB SSD FullSet-R 6,999
Proline V116 11.6-inch Laptop - Intel Celeron N4020, 4GB RAM, 128GB HDD-R 2,248
ThinkCentre M82 - Intel Core i3 Full Set Certified Pre-Owned Lenovo-R 3,299
RGB Gaming Keyboard and Mouse Combo USB Wired Backlit Keyboard for Computer-R 209
Dell Optiplex 9020 i5 4th Generation SFF Desktop- Certified Pre-Owned-R 2,099
Dahua 21.4 Inch Full HD Monitor Built in Speaker + Keyboard and Mouse Combo-R 2,449
Lenovo ThinkVision E20-30 19.5" (20-Inch) Monitor-R 1,599
Lenovo L24e 23.8' 1080p Full HD Monitor-R 3,700
Certified Pre-Owned Dell OptiPlex 990 SFF - Intel i3 2nd Gen 8GB RAM 256SSD-R 1,999
Certified Pre-Owned Lenovo ThinkCentre M800 SFF - Intel Core i3 6th Gen-R 2,499
LG Computer Monitors UltraWide 34" QHD VA Curved Monitor - 3440x1440 100Hz-R 6,499
Certified Pre-Owned Dell OptiPlex 7050 Intel i5 16GB/512GB SSD Combo - 19"-R 4,599
Certified Pre-Owned HP Compaq 8300 Intel i3 3rd Gen SFF - 8GB RAM 256GB SSD-R 1,899
World Map Mouse Pad - Extended Mousepad - Gaming Mouse Pad, Desk Pad-R 87
Certified Pre-Owned Dell OptiPlex 9020 Full Set-Intel Core i7 16GB 1TB SSD-R 6,599
Certified Pre-Owned Lenovo ThinkCentre M82 SFF - Intel i3- 8 /256 Full Set-R 2,999
Acer V206HQL 19.5'' LED HD+ Monitor-R 1,499
Certified Pre-Owned-Lenovo ThinkCentre M93P i5-4th Gen With 8GB 256GB SSD-R 2,399
12th Generation Intel Pentium Gold Home&Office High-Performance Desktop PC-R 11,000
Student Education Laptop 14" 6GB RAM 1.1 GHz Windows 10 128GB SSD Notebook-R 3,699
HP All-in-One 22-dg000ni Intel N100 8GB 256GB SSD Desktop -Cashmere White-R 7,989
Certified Pre-Owned HP ProDesk 600 G1 MT - Intel i3 4th Gen 8GB 512SSD Set-R 3,499
Certified Pre-Owned Dell OptiPlex 9020 SFF-Intel-8GB/256GB Full Set-R 3,699
Certified Pre-Owned Dell OptiPlex 9020 Intel Core i7 Tower - 16GB/1TB SSD-R 5,999
Certified Pre-Owned Dell OptiPlex 3040-Intel i5 6th Gen Micro 8GB RAM/ 256GB SSD-R 3,999
Xiaomi A27i 27" Full HD 1080p IPS Monitor (100Hz, 6ms, 16:9)-R 2,399
HiMex E140 14" Laptop Intel Celeron N4000 6GB RAM 128GB SSD Win10 notebook-R 2,999
Certified Pre-OwnedLenovo Thinkcentre m91p - Intel Core i3 2nd Gen-R 1,999
V200 Computer Chassis Case Micro ATX /Mini ITX SSD Slot x 1 HDD Slot x 3-R 998
Dell OptiPlex 3060 Intel i5, 8th Gen SFF Desktop PC + 23" Monitor (Refurb)-R 10,199
