product;price
Xiaomi Redmi Note 14 PRO Smartphone - Midnight Black (8+8GB RAM + 256GB);5799
"7.3"" U25 Ultra 5G Unlocked Phone Ram 6G Rom 128G, Built-in Stylus";2896
OPPO A40 128GB LTE Dual Sim - Starry Purple + Buds;2299
Hisense U967 Blue Dual SIM + MTN SIM with 20GB;455
Samsung Galaxy A05 64GB LTE Dual Sim - Light Green + Samsung Card Holder;1699
Xiaomi Redmi A3x Smartphone - Midnight Black (3GB RAM + 64GB);1399
Xiaomi Redmi Note 14 PRO+ 5G Smartphone - Midnight Black (8+8GB RAM+256GB);7999
Mini Foldable Small Mobile Phone 1.77-inch 2G Double SIM;400
Huawei Nova Y72s 8GB+128GB Dual Sim |6000mAh Super Battery Smartphone- Blue;2899
Xiaomi Redmi 15 Dual Sim Smartphone (8+256GB);3499
Nothing Phone (3) 16GB RAM + 512GB ROM;16999
HISENSE E35 Blue MTN SIM KIT & 5G Device Promotion;999
HONOR X5b 64GB LTE Dual Sim - Blue + MTN SIM KIT & LTE Device Promotion;1499
iPhone 11 64GB Certified Pre-Owned- Best Quality + NOVA-IL Case;5199
HONOR X5b 64GB LTE Dual Sim - Midnight Black;1833
Samsung Galaxy A06 64GB Dual Sim - Light Blue;1799
Samsung Galaxy A26 5G 128GB Dual Sim - Black;4499
Hisense U53 Dual Sim 32GB Vodacom Network Locked - Black;899
Hisense U53 32GB Dual Sim - Blue + MTN SIM with 20GB Data;699
HUAWEI Nova Y73 8GB+256GB LTE Dual Sim| 6620mAh Super Battery Phone - Black;3299
HONOR X5b Plus 128GB LTE Dual Sim - Starry Purple;1999
HONOR X5b Plus 128GB LTE Dual Sim - Midnight Black;1999
Samsung Galaxy A26 5G 128GB Dual Sim - Mint;3999
Huawei Nova 13 256GB LTE Dual Sim Smartphone | AI Best Expression - Black;6499
OPPO A40 128GB LTE Dual Sim - Sparkle Black + Buds;2299
Tecno Spark 40C 4G Dual Sim 128GB - Grey;1999
Hisense U607 8GB LTE Dual Sim - Black(NL) + Vodacom SIM Card Pack;399
Samsung Galaxy A07 128GB LTE Dual Sim - Green + Credit Card Holder;2199
Hisense Y81 Pro 4G Dual Sim 32GB Vodacom Network Locked - Black;1098
"Hisense U61 - 5.99"", 2GB RAM, 32GB Storage, 5MP Cameras, 3000mAh Battery";999
Apple iPhone 11 64GB (Pristine Like New) + SNS Charging Cable;5449
OPPO Reno 13F 5G 512GB Dual Sim - Plume Purple + Buds;8999
HUAWEI Nova Y73 8GB+256GB LTE Dual Sim | 6620mAh Super Battery Phone - Blue;3299
Samsung Galaxy A05s Dual Sim 128GB - Black;2899
Hisense E72 128GB Dual Sim - Blue + Vodacom SIM Card Pack;1499
Huawei Nova 13 256GB LTE Dual Sim Smartphone | AI Best Expression - Green;6499
HONOR X5C 64GB LTE Dual Sim - Ocean Cyan;1699
Spectra J2 6.5 Inch 64GB Smart Phone;1299
Huawei Nova Y63 128GB Dual Sim - Silver + MTN SIM with 20GBData;2599
Samsung Galaxy M15 5G 128GB Dual Sim - Dark Blue + Clear Cover + Screen Protector;3999
HUAWEI Nova 13 Pro 512GB LTE Dual Sim Smartphone- Black + FreeArc Bundle;8999
Nothing Phone (3) 16GB RAM + 512GB ROM-R 16,999;
Nothing Phone (3a) Pro 12GB RAM + 256GB ROM - Grey-R 10,499;
"7.3"" U25 Ultra 5G Unlocked Phone Ram 6G Rom 128G, Built-in Stylus-R 2,896";
OPPO A40 128GB LTE Dual Sim - Starry Purple + Buds-R 2,299;
Hisense U967 Blue Dual SIM + MTN SIM with 20GB-R 455;
Samsung Galaxy A05 64GB LTE Dual Sim - Light Green + Samsung Card Holder-R 1,699;
Oukitel WP28S - 4G IP68 Rugged Smartphone with 10 600mAh, Fingerprint, NFC-R 3,599;
Oukitel WP39 - 5G IP68 Rugged Smartphone with 11 000mAh, 24GB RAM 256GB ROM-R 5,399;
Mini Foldable Small Mobile Phone 1.77-inch 2G Double SIM-R 400;
HISENSE E35 Blue MTN SIM KIT & 5G Device Promotion-R 999;
Oukitel WP28E - 4G IP68 Rugged Smartphone with 10 600mAh, NFC, Android 14-R 3,299;
Oukitel WP32 4G IP68 Rugged Smartphone 4GB RAM 128GB ROM 5800mAh NFC-R 3,399;
Huawei Nova Y72s 8GB+128GB Dual Sim |6000mAh Super Battery Smartphone- Blue-R 2,899;
HONOR X5b 64GB LTE Dual Sim - Blue + MTN SIM KIT & LTE Device Promotion-R 1,499;
Samsung Galaxy A26 5G 128GB Dual Sim - Black-R 3,999;
iPhone 11 64GB Certified Pre-Owned- Best Quality + NOVA-IL Case-R 5,199;
HONOR X5b 64GB LTE Dual Sim - Midnight Black-R 1,649;
Samsung Galaxy A06 64GB Dual Sim - Light Blue-R 1,799;
HUAWEI Nova Y73 8GB+256GB LTE Dual Sim| 6620mAh Super Battery Phone - Black-R 3,299;
Hisense U53 Dual Sim 32GB Vodacom Network Locked - Black-R 899;
"Oukitel C36 4G Smartphone 6.56"" 4GB RAM 128GB ROM 13MP 5000mAh Android 13-R 3,199";
"Oukitel C59 - 4G Smartphone with 6.8"", 128GB ROM, 13MP Cam 10000mAh Battery-R 2,799";
Huawei Nova 13 256GB LTE Dual Sim Smartphone | AI Best Expression - Black-R 6,499;
Hisense U607 8GB LTE Dual Sim - Black(NL) + Vodacom SIM Card Pack-R 399;
OPPO A40 128GB LTE Dual Sim - Sparkle Black + Buds-R 2,299;
Hisense E72 128GB Dual Sim - Blue + Vodacom SIM Card Pack-R 1,499;
Hisense U53 32GB Dual Sim - Blue + MTN SIM with 20GB Data-R 699;
Tecno Spark 40C 4G Dual Sim 128GB - Grey-R 1,999;
Samsung Galaxy A07 128GB LTE Dual Sim - Green + Credit Card Holder-R 2,199;
HONOR X5b Plus 128GB LTE Dual Sim - Starry Purple-R 1,999;
HONOR X5b Plus 128GB LTE Dual Sim - Midnight Black-R 1,999;
HONOR X5C 64GB LTE Dual Sim - Ocean Cyan-R 1,699;
Samsung Galaxy A26 5G 128GB Dual Sim - Mint-R 3,999;
Apple iPhone 11 64GB (Pristine Like New) + SNS Charging Cable-R 5,449;
OPPO Reno 13F 5G 512GB Dual Sim - Plume Purple + Buds-R 8,999;
Huawei Nova Y63 128GB Dual Sim - Silver + MTN SIM with 20GBData-R 2,599;
"Hisense U61 - 5.99"", 2GB RAM, 32GB Storage, 5MP Cameras, 3000mAh Battery-R 1,199";
HUAWEI Nova Y73 8GB+256GB LTE Dual Sim | 6620mAh Super Battery Phone - Blue-R 3,299;
Hisense Y81 Pro 4G Dual Sim 32GB Vodacom Network Locked - Black-R 1,098;
Hisense U607 4G Dual Sim 8GB Vodacom Network Locked - Black-R 699;
Honor 400 Lite-R 6,995;
"Nokia C21 Plus 32GB Dual Sim -Dark Cyan, 6.5"" HD+ Display | 4000mAh Battery-R 1,299";
Huawei Nova 13 256GB LTE Dual Sim Smartphone | AI Best Expression - Green-R 6,499;
Spectra J2 6.5 Inch 64GB Smart Phone-R 1,299;
